symbol,date,occurrences
BX,2021-02-15,6
BX,2021-03-04,1
BY,2021-01-28,3
BY,2021-01-29,41
BY,2021-01-30,6
BY,2021-01-31,2
BY,2021-02-01,5
BY,2021-02-04,5
BY,2021-02-05,4
BY,2021-02-06,7
BY,2021-02-07,1
BY,2021-02-08,1
BY,2021-02-09,1
BY,2021-02-10,1
BY,2021-02-11,3
BY,2021-02-12,2
BY,2021-02-15,1
BY,2021-02-16,1
BY,2021-02-17,6
BY,2021-02-18,2
BY,2021-02-26,2
BY,2021-02-27,2
BY,2021-03-01,2
BY,2021-03-03,1
BY,2021-03-04,2
BY,2021-03-09,1
BY,2021-03-16,1
BY,2021-03-17,1
BY,2021-03-19,1
BY,2021-03-22,1
BY,2021-03-30,1
BY,2021-04-01,1
BY,2021-04-02,1
BYD,2021-02-08,9
BYD,2021-02-14,1
BYD,2021-02-15,1
BYD,2021-02-17,1
BYD,2021-03-27,1
BYD,2021-04-03,1
C,2021-01-28,12
C,2021-01-29,67
C,2021-01-30,17
C,2021-01-31,28
C,2021-02-01,19
C,2021-02-02,33
C,2021-02-03,24
C,2021-02-04,26
C,2021-02-05,17
C,2021-02-06,34
C,2021-02-07,29
C,2021-02-08,20
C,2021-02-09,5
C,2021-02-10,13
C,2021-02-11,10
C,2021-02-12,14
C,2021-02-13,18
C,2021-02-14,18
C,2021-02-15,8
C,2021-02-16,7
C,2021-02-17,6
C,2021-02-18,14
C,2021-02-19,8
C,2021-02-20,10
C,2021-02-21,4
C,2021-02-22,5
C,2021-02-23,14
C,2021-02-24,23
C,2021-02-25,7
C,2021-02-26,12
C,2021-02-27,8
C,2021-02-28,7
C,2021-03-01,17
C,2021-03-03,15
C,2021-03-04,19
C,2021-03-05,20
C,2021-03-06,12
C,2021-03-07,10
C,2021-03-08,6
C,2021-03-09,4
C,2021-03-10,3
C,2021-03-11,9
C,2021-03-12,10
C,2021-03-13,9
C,2021-03-14,4
C,2021-03-15,27
C,2021-03-16,7
C,2021-03-17,24
C,2021-03-18,32
C,2021-03-19,3
C,2021-03-20,19
C,2021-03-21,10
C,2021-03-22,2
C,2021-03-23,23
C,2021-03-24,6
C,2021-03-25,76
C,2021-03-26,1
C,2021-03-27,6
C,2021-03-30,2
C,2021-03-31,1
C,2021-04-01,4
C,2021-04-02,1
C,2021-04-04,13
C,2021-04-06,4
C,2021-04-07,4
C,2021-04-08,2
C,2021-04-09,5
CAP,2021-01-29,2
CAP,2021-02-03,1
CAP,2021-02-05,1
CAP,2021-02-07,2
CAP,2021-02-08,1
CAP,2021-02-11,1
CAP,2021-02-13,1
CAP,2021-02-27,1
CAP,2021-03-10,1
CAT,2021-01-29,1
CAT,2021-01-30,3
CAT,2021-02-02,1
CAT,2021-02-06,1
CAT,2021-02-17,3
CAT,2021-02-18,1
CAT,2021-02-19,1
CAT,2021-03-11,1
CAT,2021-03-12,1
CAT,2021-03-14,1
CAT,2021-03-27,1
CAT,2021-04-05,3
CBD,2021-02-03,1
CBD,2021-02-04,2
CBD,2021-02-06,2
CBD,2021-02-09,1
CBD,2021-02-10,6
CBD,2021-02-11,2
CBD,2021-02-17,1
CBD,2021-02-21,10
CBD,2021-02-23,7
CBD,2021-02-24,1
CBD,2021-03-01,3
CBD,2021-03-02,5
CBD,2021-03-21,2
CBD,2021-03-23,1
CBD,2021-03-30,1
CBD,2021-04-02,1
CC,2021-01-28,1
CC,2021-01-29,3
CC,2021-01-30,1
CC,2021-02-01,2
CC,2021-02-02,6
CC,2021-02-08,1
CC,2021-02-14,1
CC,2021-02-16,1
CC,2021-02-22,1
CC,2021-02-23,1
CC,2021-02-25,1
CC,2021-02-26,3
CC,2021-02-27,1
CC,2021-03-08,1
CC,2021-03-13,1
CC,2021-03-23,1
CC,2021-03-27,1
CC,2021-03-29,1
CC,2021-03-30,1
CC,2021-04-05,1
CC,2021-04-09,1
CCIV,2021-01-29,1
CCIV,2021-02-04,2
CCIV,2021-02-05,2
CCIV,2021-02-06,4
CCIV,2021-02-08,3
CCIV,2021-02-11,1
CCIV,2021-02-20,1
CCIV,2021-02-24,1
CCIV,2021-03-02,1
CCIV,2021-03-03,1
CCIV,2021-03-04,1
CCIV,2021-03-15,2
CCIV,2021-03-18,2
CCIV,2021-03-22,1
CCJ,2021-02-08,5
CCJ,2021-02-09,1
CCJ,2021-02-17,1
CCJ,2021-03-20,2
CCJ,2021-03-31,1
CCL,2021-01-29,1
CCL,2021-02-03,1
CCL,2021-02-12,3
CCL,2021-02-14,5
CCL,2021-02-15,3
CCL,2021-02-16,1
CCL,2021-02-20,12
CCL,2021-02-21,3
CCL,2021-02-23,2
CCL,2021-02-24,4
CCL,2021-02-25,2
CCL,2021-03-02,16
CCL,2021-03-05,3
CCL,2021-03-17,1
CCL,2021-03-21,1
CCL,2021-04-09,1
CEA,2021-02-08,2
CEA,2021-04-09,11
CF,2021-02-06,4
CF,2021-02-10,2
CF,2021-02-12,1
CF,2021-02-14,1
CF,2021-02-19,1
CF,2021-03-06,1
CHPT,2021-03-02,2
CHPT,2021-03-08,1
CHPT,2021-04-06,23
CHWY,2021-01-29,1
CHWY,2021-01-30,2
CHWY,2021-01-31,2
CHWY,2021-02-03,1
CHWY,2021-02-12,1
CHWY,2021-02-19,3
CHWY,2021-02-24,4
CHWY,2021-02-27,1
CHWY,2021-03-14,11
CHWY,2021-04-05,1
CIA,2021-01-29,3
CIA,2021-02-13,1
CIA,2021-02-23,2
CIA,2021-02-24,1
CIA,2021-03-07,1
CIA,2021-03-18,1
CIA,2021-04-02,1
CL,2021-01-30,3
CL,2021-02-02,9
CL,2021-02-04,1
CL,2021-02-06,1
CL,2021-02-10,2
CL,2021-02-12,1
CL,2021-02-14,9
CL,2021-02-16,1
CLF,2021-01-31,1
CLF,2021-02-05,1
