Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$24.27,0.00,0.00%,,United States,,33,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$24.85,-0.03,-0.121%,,United States,,588,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$23.94,0.37,1.57%,,United States,,298,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$22.66,-0.14,-0.614%,,United States,,410,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$22.43,-1.13,-4.796%,,United States,,270,,
PED,Pedevco Corp. Common Stock,$1.28,-0.07,-5.185%,101685252.00,United States,,304680,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$6.26,0.04,0.643%,151780023.00,,2019,17413,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLAG,Planet Green Holdings Corp. Common Stock,$2.08,-0.03,-1.422%,41620654.00,China,,19797,Consumer Non-Durables,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$4.00,0.00,0.00%,295318508.00,Canada,,271849,Basic Industries,Precious Metals
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$3.13,0.05,1.623%,315296725.00,Canada,,200316,Basic Industries,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$5.69,0.39,7.358%,258228308.00,Israel,,915416,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$26.25,-0.05,-0.19%,,United States,,7376,,
PRK,Park National Corporation Common Stock,$126.97,-3.78,-2.891%,2071330174.00,United States,,38126,Finance,Major Banks
PTK,PTK Acquisition Corp. Common Stock,$10.10,0.15,1.508%,145187500.00,United States,2020,234215,Finance,Business Services
PTN,Palatin Technologies Inc. Common Stock,$0.5903,-0.0037,-0.623%,135789251.00,United States,,1429248,Health Care,Major Pharmaceuticals
PW,Power REIT (MD) Common Stock,$46.77,-1.33,-2.765%,154305127.00,United States,,13339,Consumer Services,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$26.2624,-0.2172,-0.82%,,United States,,177,,
PZG,Paramount Gold Nevada Corp. Common Stock,$1.03,0.02,1.98%,37313342.00,United States,2015,130055,Basic Industries,Precious Metals
RCG,RENN Fund Inc Common Stock,$2.60,0.02,0.775%,15475086.00,United States,,13705,,
REI,Ring Energy Inc. Common Stock,$2.11,-0.08,-3.653%,209273149.00,United States,,3221339,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$27.7393,-1.7607,-5.968%,494049970.00,United States,,29449,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$4.81,-0.27,-5.315%,8120333.00,,2017,163827,Consumer Services,Real Estate
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$2.87,-0.0171,-0.592%,,,,835,,
RLGT,Radiant Logistics Inc. Common Stock,$6.97,-0.11,-1.554%,348273747.00,United States,,119085,Transportation,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$4.01,-0.25,-5.869%,13069953.00,,2018,324215,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$11.00,0.55,5.263%,373808644.00,United States,,441607,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$25.192,0.025,0.099%,0.00,United States,2019,4719,Consumer Services,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$5.09,-0.17,-3.232%,113549089.00,United States,2017,457930,Consumer Services,Real Estate Investment Trusts
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.57,0.07,0.275%,0.00,United States,2019,2517,Consumer Services,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$25.7511,0.0892,0.348%,0.00,United States,2020,366,Consumer Services,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$0.8376,-0.0174,-2.035%,21578538.00,,2014,281063,Energy,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3764.49,-35.50,-0.934%,4369740938.00,United States,1996,785,Consumer Services,Farming/Seeds/Milling
SENS,Senseonics Holdings Inc. Common Stock,$2.12,-0.04,-1.852%,801112526.00,United States,,20441414,Capital Goods,Industrial Machinery/Components
SIF,SIFCO Industries Inc. Common Stock,$13.65,0.79,6.143%,81343476.00,United States,,20931,Capital Goods,Aerospace
